Reduced_tokens,Titles_length,Sentiments,Total_interactions
"[-0.0082446   0.00148655 -0.00061157 -0.00496274  0.00238056  0.00857519
 -0.01070636 -0.0082427   0.00265399 -0.00633376 -0.01458017 -0.00397523
  0.00106592  0.00340169  0.00539998 -0.00165036 -0.00416249 -0.0069262
  0.00831559  0.00560328  0.01129892 -0.00516074 -0.01029503 -0.00821521
  0.00666098  0.00196491 -0.00233135 -0.00928619 -0.00127153 -0.01176567
 -0.00453784  0.00597755 -0.00863814 -0.00548944  0.00226354  0.00714285
 -0.00370958  0.01206077 -0.00505991 -0.00108691  0.00397523 -0.00681533
 -0.00420324  0.00622882  0.00740964  0.00545494  0.00175776 -0.00261919
  0.00070171  0.00041714]",28,0.00947869957593271,0
"[-0.00012382  0.01038692 -0.01149143 -0.00545741  0.00575715 -0.00912909
 -0.00022898 -0.00518798  0.00192184 -0.00188281  0.00263745 -0.01190081
  0.00323358  0.01065529 -0.00548132  0.00547509 -0.01279032  0.00549235
  0.00855997 -0.0081405   0.00063399  0.00868742 -0.00757154  0.01762157
 -0.00730519  0.00285635  0.00262067 -0.00815601  0.00091578  0.00027722
  0.00697875 -0.00037214  0.00873116  0.00346721  0.0008911  -0.00365621
 -0.00238348 -0.00148852 -0.01206223 -0.00089965 -0.00367434  0.01231183
 -0.00642488  0.00349489 -0.00212699  0.00295771 -0.00090117 -0.0055983
 -0.00139948  0.00183984]",30,0.0018370402772129191,6
"[ 0.0084054  -0.00241556 -0.00516246 -0.00109648 -0.01044701  0.00187414
 -0.01443144  0.009142   -0.01107885  0.00116809 -0.0089224   0.00230267
 -0.00128249 -0.00085299  0.00176301  0.00208773  0.01090393 -0.00499789
  0.00612099  0.00880268  0.01022498 -0.00352076  0.00018398  0.00438675
  0.00976785  0.00642097 -0.00323388 -0.00616518 -0.00553521  0.03338693
 -0.00932809 -0.00758964 -0.00821808 -0.0188142   0.00811763 -0.00280851
  0.00052546 -0.01014638  0.00520959  0.00535425  0.0018016   0.00637299
 -0.00799153  0.00241794 -0.00772668  0.00414624 -0.00477599 -0.00438104
 -0.00052871 -0.00395951]",55,0.002241106790479231,0
"[ 0.00754046 -0.00149364 -0.00620072  0.00589018 -0.00215109  0.00593964
  0.00073397 -0.00673078  0.01085946  0.01257965  0.00127429 -0.00362622
  0.00101353 -0.0013929  -0.01049508 -0.00908704 -0.013202    0.00518472
  0.00988484  0.00226697  0.00477689  0.00825947  0.01018626 -0.00060504
  0.01041915 -0.01405174  0.0016926  -0.00104755 -0.00238614  0.00079391
  0.00616592 -0.00351285  0.0096902   0.00147655  0.01157942 -0.00019863
  0.0036358  -0.00279449 -0.00678671 -0.00335463  0.00284553 -0.00041668
 -0.0015539   0.00487868 -0.00679605 -0.00579881 -0.00640315  0.00691429
 -0.00568336 -0.00417891]",45,0.461799490794411,6
"[-0.0037063  -0.00592922 -0.00834056  0.00252512 -0.00240338  0.00572893
  0.00197757 -0.0071333  -0.00010316  0.00049127 -0.00402502  0.0073359
  0.00308671  0.00570177 -0.01338879 -0.00109872  0.00592698 -0.00126883
  0.00675461  0.00233101 -0.0067287  -0.00487685  0.00178022 -0.00809576
  0.01155219  0.00087678  0.00315052 -0.00065261  0.00743899 -0.00216809
 -0.00422244 -0.01124234 -0.00740279 -0.00504846  0.00910585 -0.00325659
  0.0007587   0.01125093 -0.00259981 -0.01054043  0.00235389 -0.00556486
 -0.00198536  0.0031465   0.00292201 -0.00116335  0.0016533   0.00305578
  0.00286313 -0.01418879]",47,5.9988324812411e-07,17
"[ 4.25710900e-04  2.18729947e-03 -1.70543304e-02  6.15668687e-03
 -2.25976831e-04 -3.65356184e-04 -1.67380791e-03 -1.02852182e-02
  1.61427165e-03 -5.11035281e-03  3.16999890e-03 -4.25647894e-03
  5.20690334e-05 -6.27339960e-04  8.78856737e-04  7.80867996e-03
  4.78670151e-03 -1.15918343e-02  1.13524626e-03  8.14595309e-03
  3.38681294e-03  8.56973101e-03 -4.10087635e-03 -8.55687440e-03
  1.20623978e-02  9.81046740e-04  8.95010232e-03  3.63476020e-03
  2.97275959e-03  1.61121265e-03  6.54037623e-03 -3.14042639e-03
 -1.46276389e-03 -2.90150612e-03 -4.49251305e-03 -6.25166398e-03
 -1.08090235e-02  4.18932998e-03 -9.59839416e-03 -6.60159322e-03
 -3.45273874e-03  1.14735531e-03  5.66272605e-04  4.41669139e-03
 -2.30348092e-04  3.45849393e-03 -9.02071557e-04  1.96949247e-03
  1.98404576e-03 -6.95561641e-03]",33,0.05870745643598194,54
"[-0.00883164 -0.00584817  0.01232749 -0.0049274  -0.00258032 -0.00161024
 -0.00759018  0.00496374 -0.01123992  0.00496365  0.00200755 -0.00912397
 -0.00326226 -0.0044065  -0.00433739  0.0061476  -0.01229897 -0.00798939
 -0.00287624  0.01434566 -0.00049186  0.00584727 -0.0034567   0.00329157
  0.00210265  0.01010769  0.0008832  -0.01697665 -0.00062427 -0.00487395
 -0.01313197  0.00984167  0.00662124 -0.01359226 -0.00322657  0.00612783
  0.00731832  0.00836165  0.0013656   0.00495096  0.00111804 -0.00730073
  0.00044309  0.00754135 -0.0023837  -0.00453468  0.00730955  0.00616293
  0.00224325  0.00057348]",32,0.33717806268080874,16
"[ 0.00227458  0.0063948  -0.00192243 -0.00023965  0.00396478  0.00399678
 -0.00427222 -0.00722812  0.00567768  0.00457379  0.00347861  0.00526469
  0.00880734 -0.00184595  0.00120158  0.00961298  0.00867272  0.0129961
 -0.01201465 -0.00410645  0.00176215 -0.00414575 -0.0101864  -0.01087324
 -0.00196737 -0.00461045 -0.00183766  0.00996708  0.00943144 -0.00121323
  0.00937164  0.00393049  0.00105375 -0.0061289   0.00796953 -0.01552178
 -0.00592754 -0.00144907 -0.00284279  0.00226919  0.00463146  0.00276937
 -0.01464262 -0.0072978  -0.00343986  0.00458637  0.00346393  0.00162436
  0.00130779  0.00562679]",43,0.021321739460888715,12
"[ 2.10044687e-04  6.00272398e-03  9.06003073e-04 -4.93135267e-03
  2.25923798e-03  1.72311614e-02  4.12162370e-04  5.26195955e-03
 -8.60617860e-04  3.97608671e-03 -3.56932212e-03  1.45755604e-03
 -2.00072771e-03 -5.66301416e-03 -2.45065220e-03  7.20004638e-03
  2.32371570e-04 -8.10671829e-03  3.05910102e-03  1.89512649e-03
 -8.57133014e-03 -4.26246290e-03  1.17022917e-03  1.79409039e-03
 -2.32095217e-03 -4.05614174e-03  1.38061631e-02  6.06262566e-04
 -4.61213476e-03  2.55138550e-04 -1.44913037e-02  4.48915867e-03
 -1.82496624e-03 -1.02085828e-02 -2.44250501e-03 -5.61439117e-03
  3.02179726e-03  2.73474683e-03  1.17375311e-02  4.65947666e-03
  6.72119915e-03 -7.93614336e-03 -1.32258057e-02  1.95710285e-05
 -4.63527913e-03 -3.26983742e-03  3.66810111e-04  1.89739898e-02
 -9.35383045e-03  6.28129051e-03]",24,8.56484426593748e-06,38
"[ 0.00018035 -0.00221499  0.00464819 -0.00396246 -0.00501004  0.00332332
  0.00880156 -0.00480046 -0.0105893  -0.0178755  -0.00128079  0.00410892
  0.00298782 -0.00281369  0.01856314 -0.0189199  -0.00807982 -0.00400324
 -0.00117069  0.00749311  0.02456225  0.01477307 -0.00142957 -0.00666905
 -0.00156692  0.00027273  0.00497999  0.00579669  0.00326079 -0.01316841
 -0.00582869 -0.00873847 -0.00121296 -0.00043871  0.00503529 -0.00626877
 -0.00720954 -0.00051501  0.00133625 -0.00050662 -0.00505398  0.00346462
 -0.00997212 -0.00598595 -0.00296806  0.00249406 -0.00228335  0.00623848
  0.00266204 -0.00186917]",25,0.6658651568523377,0
"[-0.01686691  0.01015784 -0.0163947   0.02958262  0.0324366  -0.02112298
 -0.00335898  0.00216551 -0.00801657  0.00491724  0.00637459  0.00202647
 -0.00135296 -0.00172133  0.00255821 -0.00328924  0.00263089 -0.00043502
  0.0021816   0.00251812  0.00073493  0.00300688  0.00065443  0.00238262
 -0.00156979  0.0001662  -0.00124764 -0.00159151  0.00092256  0.00153838
 -0.0016811   0.00019957  0.00081826 -0.00040844  0.00049647  0.0001558
  0.00056395  0.00076483  0.00056285  0.00132912 -0.00018426 -0.00268704
  0.0010258   0.00095629 -0.0008193   0.0004156   0.00052529  0.00077539
 -0.00093723 -0.00087628]",66,0.0006880654467979147,11
"[-0.0105904  -0.01677253  0.03465233 -0.02581316  0.02312445 -0.01323007
 -0.00627231 -0.00143661  0.00096803  0.00144788  0.00114123 -0.00040871
  0.00957144  0.00052391 -0.00172206 -0.00185693  0.00042348  0.00111493
  0.0032776   0.002365    0.00162654  0.00084498 -0.00066605  0.00151876
  0.00075052  0.0020366   0.00052999  0.00307197  0.0031298   0.00110746
 -0.0006585  -0.00113841  0.00094675  0.00016792 -0.00104348  0.00085325
  0.00163321  0.00252719  0.0004341  -0.00089101  0.00150393 -0.00028403
 -0.00023001 -0.00215983 -0.00348787 -0.00013456 -0.00033481 -0.00016313
 -0.00025021 -0.00116092]",32,0.0007535064251076319,65
"[-0.00362914 -0.01617248 -0.00782972 -0.0008849  -0.00282918 -0.0150421
  0.0441088   0.00312259  0.00693154  0.00480748  0.0006247  -0.00346034
  0.00341726 -0.00189153 -0.00597783  0.00165892  0.00096868 -0.00769086
  0.00245027 -0.0013547  -0.00307924  0.0012642   0.00439384 -0.00312924
  0.00094943  0.00169145 -0.00115819  0.00186293 -0.00140144  0.0025744
 -0.00120026 -0.00231136 -0.00432832  0.0025718  -0.00015632  0.00208859
  0.0013152   0.00110122  0.00244341  0.00406747 -0.00296585 -0.00119858
 -0.00103697 -0.00250056 -0.00318068  0.00167124 -0.00147126 -0.00165096
 -0.0006611  -0.00085796]",46,0.943946547755436,26
"[-1.36324008e-02 -7.89709772e-03  5.30732752e-03  6.40869218e-03
  3.45168165e-02  4.22989784e-02  1.22763828e-02  1.42827917e-04
  5.73697029e-03 -4.35430235e-03 -2.53642628e-03  5.81417765e-03
 -6.52425985e-03 -3.51721060e-04 -1.19791111e-03  2.66440008e-03
 -3.73886506e-04  2.20379977e-03 -2.30307154e-03 -5.03811507e-04
 -8.31282817e-04  6.54723217e-03 -9.80618777e-04 -1.59088315e-03
 -1.17769296e-03  1.98362392e-04 -6.17627785e-03 -3.22670606e-03
  6.79118725e-04 -1.28596796e-04  3.33369562e-03 -4.08385649e-04
 -6.08770791e-04 -3.10345273e-03 -1.42024659e-03  2.79042407e-04
  9.37026292e-05 -2.11333527e-03 -2.18450251e-03  9.25354426e-04
  1.70839410e-04  3.15423345e-03  9.28643523e-05  3.29881385e-04
  4.47104465e-04 -2.03562896e-04 -3.09588892e-03  7.89842125e-04
  4.72340449e-04  1.22129739e-03]",44,0.009645350479292507,253
"[ 1.48463027e-02 -8.84817746e-04 -9.94950588e-03 -2.81236130e-03
 -1.50939081e-02  6.88476615e-03  1.82823106e-03 -2.26156402e-02
 -1.41899945e-02  4.73997806e-03  1.36929276e-02  1.55281835e-02
  1.38953738e-02 -8.03256448e-03 -1.65174592e-02  1.24464386e-02
  5.36796384e-03  1.19093510e-02  2.01930666e-03  4.88282809e-04
  1.08768308e-02  1.09706871e-02  7.45913854e-05  7.17941668e-03
 -1.29589470e-03 -1.99301579e-03 -3.52293891e-03 -3.38297342e-04
  3.59151256e-03 -2.74168886e-03 -4.58180809e-03 -2.50540125e-03
 -2.27154575e-03 -8.81107794e-04 -2.52613310e-03 -1.75092123e-03
  1.31953447e-03  3.48640633e-03  3.55107563e-03  4.36694154e-03
 -1.26099917e-03 -1.09968395e-03  3.27076594e-04 -3.05002671e-04
  3.69889941e-03 -1.49315183e-03  2.74252978e-03  1.81004703e-04
 -1.57117056e-03  2.72461741e-03]",34,0.36038018365013796,11
"[-1.02223190e-02  4.37974687e-02  2.91094705e-02  1.01502211e-02
 -9.07958616e-03  5.23681502e-04  8.41542859e-03  2.03968108e-03
  3.34127624e-03 -2.39819750e-04 -1.76770170e-04  1.42779696e-03
 -8.75382777e-04 -2.37791630e-03  6.66188006e-04  3.75671101e-04
  9.11683961e-04  1.25721367e-03 -8.44691371e-04  3.41736300e-03
 -1.65225360e-04  4.58623037e-04  3.78989463e-05  1.32739627e-03
 -2.66537498e-04  2.49601096e-04 -4.28967426e-04  2.66191455e-03
  8.07570850e-04  1.79981772e-03 -4.86753598e-04 -2.11130964e-04
  8.11890158e-04 -1.13150307e-03 -3.45755089e-05  1.09185377e-03
 -7.87284858e-04  1.11818676e-03 -8.33790627e-04  3.74506220e-04
  3.10109703e-04  7.63644638e-04  1.05380041e-03 -7.36570677e-04
  6.83591354e-04  9.45350335e-06  4.85236533e-04  1.83674505e-04
 -2.41621093e-04  5.75730511e-04]",34,0.013652266479987076,2
"[ 4.47858541e-05 -2.76442106e-03 -2.29434816e-02  1.82680302e-04
 -1.18914051e-02 -3.03066073e-03  2.95726950e-03  1.25298514e-02
  4.29822569e-03  1.02843050e-02 -9.36464709e-03 -1.62315392e-02
 -9.84303832e-03 -1.35561525e-03  3.90018234e-03 -1.44723726e-05
 -8.03546195e-03  2.20568125e-02  9.67894483e-03  9.97268455e-04
  4.96199624e-03  8.74018811e-03 -5.85103317e-03 -4.91789777e-03
  2.42493183e-03  6.83799329e-03 -1.00566532e-03  9.76640471e-03
  6.76844199e-04 -5.51824491e-03 -5.10636631e-03  6.05936250e-04
  1.03729158e-02 -5.40722350e-03 -8.75184227e-03 -3.63835799e-03
  2.95770690e-03  1.43962080e-03 -3.31079855e-03 -3.47032654e-03
 -5.46701679e-03 -3.38546444e-03  4.08393013e-04 -2.57897138e-03
  1.22813421e-03 -9.56021415e-04 -1.99413810e-04 -3.39775635e-03
 -2.18422593e-03  8.18241414e-03]",31,0.0018569653345942203,0
"[ 0.00010542 -0.00481508  0.00180663  0.00680478  0.00092694  0.00932813
 -0.00346754 -0.00275513 -0.0077473   0.00531348  0.00483073 -0.00773124
 -0.00834096  0.0150194  -0.00117309  0.00401407  0.00402059 -0.00087163
  0.01734402  0.00392344 -0.00509825 -0.00117639  0.00393048  0.01218753
  0.00674466  0.00318564  0.01302553  0.01815705 -0.00855078 -0.00476138
  0.00283548 -0.00484142  0.00048603  0.00107765  0.00859152  0.0042253
  0.00625287  0.00304739  0.00503991  0.00351818  0.00186014  0.00721383
  0.00290744  0.00264178 -0.00262278  0.00646201 -0.00527582  0.0007519
  0.00740419  0.0025629 ]",49,0.0008635169136601993,9
"[ 2.64981693e-03 -1.32313857e-03  1.78183680e-03 -5.60738635e-03
 -1.30686846e-03 -1.99648975e-02 -1.49488180e-02 -9.92574106e-03
  3.37779074e-02 -1.25440253e-03 -6.00653029e-03  1.66463394e-02
 -1.74183041e-02 -4.14846592e-04 -1.05475972e-02  5.95668304e-03
 -1.08325950e-02 -5.00917675e-03  1.30422455e-02  5.39502846e-03
  3.55588734e-03  1.95104589e-03  2.29618562e-03 -9.16943810e-04
  9.14579159e-04  2.12916486e-04 -1.07340216e-03 -6.84043170e-03
 -1.89959029e-03  3.46348349e-03 -2.96605610e-03 -1.97035523e-03
 -5.49999619e-04  3.21495042e-03  1.04311892e-03  1.80371352e-03
  3.16940414e-03 -1.75365395e-03  4.93451486e-03 -4.51650835e-03
 -9.81409514e-03 -1.91578325e-03 -3.53327783e-04 -2.30049384e-04
  4.18915324e-03 -2.26455793e-03  6.27406580e-05  1.67534123e-03
 -9.78826651e-04  2.52479593e-03]",21,0.45050454332713635,12
"[-0.004982    0.00302568 -0.00915886  0.00642926  0.00434998 -0.01300566
 -0.0067435  -0.00520811  0.00227504 -0.01303475  0.00411175 -0.00584784
 -0.00148387  0.0024157   0.0050934  -0.00142817  0.00151283  0.0004765
 -0.00459173  0.00189979 -0.00600667  0.00683104 -0.01284849  0.0089161
  0.01377812  0.01787093 -0.0043599  -0.00182464 -0.00617112  0.00854354
  0.00414777  0.00984569  0.00701143  0.00150982 -0.00044168  0.0036168
  0.01001177 -0.00760043  0.00351823  0.00104981  0.00813527  0.00682209
 -0.01404756  0.00390687 -0.00338824  0.01007087  0.00486519 -0.00690352
 -0.008279    0.00712213]",32,0.0014435803289961986,5
"[ 0.00047974  0.00164004  0.00461807 -0.00908675 -0.00232503 -0.00391163
  0.00082534  0.00359943  0.00492236 -0.00669739  0.00061146  0.00477149
 -0.00087317 -0.00165309 -0.00814266 -0.0056444  -0.00050233  0.00299174
  0.00711648 -0.00286598 -0.00861368 -0.00132598 -0.01221352  0.00450461
 -0.00868749  0.00159823  0.0039441  -0.00042425  0.00352223  0.00299639
 -0.00216459 -0.00624817 -0.00431935 -0.0127361  -0.00151612  0.00371395
 -0.0089871  -0.01084366  0.01077593 -0.00588207 -0.00269687 -0.00860962
  0.00472445  0.00354714 -0.01268328  0.00491857 -0.00653945  0.01021267
  0.00050348  0.00252466]",50,0.00011460187183492424,4
"[-0.00583491  0.00688729 -0.00389011 -0.00379038  0.00476672  0.00341524
 -0.00902073 -0.00507255 -0.00631847  0.00848068  0.00739756  0.00973506
 -0.00344045 -0.00475969 -0.0027704   0.00986388 -0.00148317  0.00459635
  0.00133909  0.00047987 -0.00390526 -0.00843068 -0.0037658   0.00358299
  0.0066621  -0.00733367  0.00908478 -0.00247049 -0.00596298 -0.00788708
 -0.0042561  -0.00175369 -0.00034009 -0.01190089  0.00972052  0.01188848
 -0.00064537 -0.0069771  -0.00620721  0.00186225  0.00201194  0.00894911
 -0.00597279  0.00129564  0.00045633 -0.00428047  0.00156773  0.00199196
 -0.00619507 -0.00073524]",51,0.0001833113494536332,59
"[ 1.63760624e-03  1.55765749e-03 -1.83245910e-03 -1.08203989e-02
  3.39326949e-03  6.54079322e-04 -6.32041695e-03  3.80890625e-03
 -7.18387696e-03 -6.32162248e-03  2.03282617e-03  1.67681882e-03
 -9.90769640e-04  1.29985215e-03 -1.50460412e-03  3.00732677e-03
 -7.12144791e-03  1.48850979e-03 -3.31268733e-03  6.34092700e-03
  1.33586975e-02  5.65914385e-03 -1.26010380e-02  4.46697816e-03
  1.03992303e-02  8.35871562e-03 -3.60387042e-03  3.70904383e-03
 -5.56032515e-03 -3.65997118e-03 -6.23937776e-03 -6.26205936e-03
 -8.92009069e-03  1.12376311e-02 -1.19052848e-02 -4.70455537e-03
  2.95796225e-03 -1.12569371e-02 -1.09220146e-02  3.88372979e-03
 -2.71381885e-03  2.37592788e-03 -6.80877615e-03 -1.02142095e-02
 -9.01458044e-05  8.76615838e-04 -8.45179239e-03  4.41748115e-03
 -5.91904619e-03  6.20841533e-03]",43,0.00025673157781307024,5
"[-3.59051182e-03 -3.73272401e-03 -3.09458875e-03 -5.48640664e-04
 -2.65605768e-03  6.16025874e-03 -1.39002831e-03 -1.05582195e-02
 -6.01438365e-03 -8.81845582e-03  3.69179750e-03  2.73711867e-03
 -1.09539246e-03  3.29747528e-03 -2.19513486e-03  4.85187780e-03
  1.83510295e-03  4.66171944e-03  1.26114273e-02  1.08618005e-02
 -7.74818139e-04 -2.85040457e-03 -1.03584109e-02  3.26604633e-03
  5.15082514e-03 -1.13652483e-02  7.42720075e-03 -4.95445092e-03
 -6.44339061e-03 -2.25342990e-03 -3.05945321e-03  1.89116754e-03
 -7.63747130e-04  1.39876505e-02 -6.50199526e-03  2.91356150e-03
 -8.53949407e-03  7.66790930e-03 -9.99654948e-03 -6.73098350e-03
 -6.42332680e-03 -1.04352875e-02  6.67447176e-04  7.98747500e-04
 -2.32834500e-03  2.36723730e-03  6.58491697e-05 -1.26816516e-02
  1.36382156e-02 -1.10106045e-02]",41,0.004151880213488195,9
