Title,Likes,Comments
,,
Varón es atacado en autohotel de Durango Capital,7,0
,,
"Entrevista a Fernando Martínez, atleta duranguense, de Santiago Papasquiaro, quien busca asistir este año a los Juegos",3,0
,,
Mujer protagoniza escándalo en restaurante de Durango tras correrla del lugar,49,0
,,
Difunden golpiza a turistas en Playa del Carmen,109,5
,,
CORTE INFORMATIVO 05/03/2024 #Noticiasstv #Noticias #NoticiasHoy #durangomex,5,0
,,
Hay 55 quejas y 14 denuncias por violencia de género en la UJED,30,0
,,
No pasa nada': AMLO reacciona a crítica de Ricardo Salinas Pliego a su gobierno,22,4
,,
CORTE INFORMATIVO 04/03/2024 #Noticiasstv #Noticias #NoticiasHoy #Durango,4,0
,,
Localizan hombre sin vida en una torre de CFE en Gómez Palacio,16,0
,,
Camioneta impacta con tractocamión en distribuidor vial de Garabitos,48,1
,,
¿Durango está teniendo una sequía?,120,1
,,
La duranguense Karen Macias irá al USA Open Karate 2024,45,3